vehicle1-relx(m),vehicle1-rely(m),vehicle1-relvx(km/h),vehicle1-relvy(km/h),vehicle2-relx(m),vehicle2-rely(m),vehicle2-relvx(km/h),vehicle2-relvy(km/h),vehicle3-relx(m),vehicle3-rely(m),vehicle3-relvx(km/h),vehicle3-relvy(km/h),vehicle4-relx(m),vehicle4-rely(m),vehicle4-relvx(km/h),vehicle4-relvy(km/h),vehicle5-relx(m),vehicle5-rely(m),vehicle5-relvx(km/h),vehicle5-relvy(km/h),vehicle6-relx(m),vehicle6-rely(m),vehicle6-relvx(km/h),vehicle6-relvy(km/h),vehicle7-relx(m),vehicle7-rely(m),vehicle7-relvx(km/h),vehicle7-relvy(km/h),vehicle8-relx(m),vehicle8-rely(m),vehicle8-relvx(km/h),vehicle8-relvy(km/h),vehicle9-relx(m),vehicle9-rely(m),vehicle9-relvx(km/h),vehicle9-relvy(km/h),vehicle10-relx(m),vehicle10-rely(m),vehicle10-relvx(km/h),vehicle10-relvy(km/h),vehicle11-relx(m),vehicle11-rely(m),vehicle11-relvx(km/h),vehicle11-relvy(km/h),vehicle12-relx(m),vehicle12-rely(m),vehicle12-relvx(km/h),vehicle12-relvy(km/h),vehicle13-relx(m),vehicle13-rely(m),vehicle13-relvx(km/h),vehicle13-relvy(km/h),vehicle14-relx(m),vehicle14-rely(m),vehicle14-relvx(km/h),vehicle14-relvy(km/h),vehicle15-relx(m),vehicle15-rely(m),vehicle15-relvx(km/h),vehicle15-relvy(km/h),vehicle16-relx(m),vehicle16-rely(m),vehicle16-relvx(km/h),vehicle16-relvy(km/h),vehicle17-relx(m),vehicle17-rely(m),vehicle17-relvx(km/h),vehicle17-relvy(km/h),vehicle18-relx(m),vehicle18-rely(m),vehicle18-relvx(km/h),vehicle18-relvy(km/h),vehicle19-relx(m),vehicle19-rely(m),vehicle19-relvx(km/h),vehicle19-relvy(km/h),vehicle20-relx(m),vehicle20-rely(m),vehicle20-relvx(km/h),vehicle20-relvy(km/h),vehicle21-relx(m),vehicle21-rely(m),vehicle21-relvx(km/h),vehicle21-relvy(km/h),vehicle22-relx(m),vehicle22-rely(m),vehicle22-relvx(km/h),vehicle22-relvy(km/h),vehicle23-relx(m),vehicle23-rely(m),vehicle23-relvx(km/h),vehicle23-relvy(km/h),vehicle24-relx(m),vehicle24-rely(m),vehicle24-relvx(km/h),vehicle24-relvy(km/h),vehicle25-relx(m),vehicle25-rely(m),vehicle25-relvx(km/h),vehicle25-relvy(km/h),vehicle26-relx(m),vehicle26-rely(m),vehicle26-relvx(km/h),vehicle26-relvy(km/h),vehicle27-relx(m),vehicle27-rely(m),vehicle27-relvx(km/h),vehicle27-relvy(km/h),vehicle28-relx(m),vehicle28-rely(m),vehicle28-relvx(km/h),vehicle28-relvy(km/h),vehicle29-relx(m),vehicle29-rely(m),vehicle29-relvx(km/h),vehicle29-relvy(km/h),vehicle30-relx(m),vehicle30-rely(m),vehicle30-relvx(km/h),vehicle30-relvy(km/h),vehicle31-relx(m),vehicle31-rely(m),vehicle31-relvx(km/h),vehicle31-relvy(km/h),vehicle32-relx(m),vehicle32-rely(m),vehicle32-relvx(km/h),vehicle32-relvy(km/h),vehicle33-relx(m),vehicle33-rely(m),vehicle33-relvx(km/h),vehicle33-relvy(km/h),vehicle34-relx(m),vehicle34-rely(m),vehicle34-relvx(km/h),vehicle34-relvy(km/h),vehicle35-relx(m),vehicle35-rely(m),vehicle35-relvx(km/h),vehicle35-relvy(km/h),vehicle36-relx(m),vehicle36-rely(m),vehicle36-relvx(km/h),vehicle36-relvy(km/h),vehicle37-relx(m),vehicle37-rely(m),vehicle37-relvx(km/h),vehicle37-relvy(km/h),vehicle38-relx(m),vehicle38-rely(m),vehicle38-relvx(km/h),vehicle38-relvy(km/h),vehicle39-relx(m),vehicle39-rely(m),vehicle39-relvx(km/h),vehicle39-relvy(km/h),vehicle40-relx(m),vehicle40-rely(m),vehicle40-relvx(km/h),vehicle40-relvy(km/h),vehicle41-relx(m),vehicle41-rely(m),vehicle41-relvx(km/h),vehicle41-relvy(km/h),vehicle42-relx(m),vehicle42-rely(m),vehicle42-relvx(km/h),vehicle42-relvy(km/h)
-3,-26,3.7309,12.632,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3,-25.8,4.0582,12.502,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.2,-25.4,4.0582,12.568,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.2,-25,3.7309,12.829,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.4,-24.6,3.0763,12.568,3.4,-58.8,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-24.2,2.4872,12.175,3.2,-58.6,3.6,10.8,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-24,2.0291,12.371,3.2,-58.2,3.6,12.96,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-23.6,1.3746,12.043,3,-57.8,-1.5429,13.629,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-23.2,3.5346,24.349,3,-57.4,-2.16,13.92,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-23,5.04,41.891,3.6,-57,-2.4872,14.072,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-22.8,3.3382,35.346,3.6,-56.6,-3.3382,14.072,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-22.2,2.0291,29.062,3.4,-56.2,-3.6,13.483,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-3.6,-22,0.7854,22.648,3.8,-55.8,-4.2546,13.025,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-5.2,-14,-0.3927,16.102,3.8,-55.4,-3.7963,13.025,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
-5.2,-9,-1.5054,9.6876,3.8,-55,-2.9454,13.091,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0
